eventId,clientType,alObjectType,alObjectId,alObjectName,extensionName,extensionPublisher,Count,PercentOfTotal,FirstSeen [UTC],LastSeen [UTC],AvgPerHour,AvgExecutionMs,MaxExecutionMs,SampleMessage
CL0001,Desktop,Page,25,Customer Ledger Entries,,,5,0,"10/30/2025, 9:46:35.078 AM","10/31/2025, 7:50:15.163 AM",0.2,NaN,,
CL0001,Desktop,Page,138,Posted Purchase Invoice,,,5,0,"10/30/2025, 1:09:31.192 PM","10/30/2025, 2:28:12.394 PM",0.2,NaN,,
CL0001,Desktop,Page,80101,HAG Webshop Order List,,,5,0,"10/30/2025, 8:57:36.089 AM","10/30/2025, 9:00:30.097 AM",0.2,NaN,,
AL0000E24,WebClient,CodeUnit,8713,System Telemetry Logger,System Application,Microsoft,5,0,"10/30/2025, 11:59:24.461 AM","10/30/2025, 2:45:41.029 PM",0.2,NaN,,Job queue entry enqueued: 9F4A0666-9DAD-43BA-A5FE-8BD280FE2421
CL0001,Desktop,Page,144,Posted Sales Credit Memos,,,5,0,"10/30/2025, 8:46:01.384 AM","10/30/2025, 3:30:08.684 PM",0.2,NaN,,
RT0018,Background,CodeUnit,10025918,RSM Customer Access,Wise e-Invoices,Wise,5,0,"10/30/2025, 12:02:31.358 PM","10/30/2025, 2:54:44.431 PM",0.2,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,130,Posted Sales Shipment,,,5,0,"10/30/2025, 8:55:06.287 AM","10/30/2025, 2:31:25.779 PM",0.2,NaN,,
RT0006,Background,Report,296,Batch Post Sales Orders,Base Application,Microsoft,5,0,"10/30/2025, 12:07:10.621 PM","10/31/2025, 8:16:42.924 AM",0.2,146269.12,355630.26,Report rendered: 296 - Fjöldabóka sölupantanir
CL0001,Desktop,Page,9308,Purchase Invoices,,,5,0,"10/30/2025, 8:42:12.081 AM","10/30/2025, 1:08:04.816 PM",0.2,NaN,,
CL0001,Desktop,Page,10027222,REP Sales - Invoice Wise,,,5,0,"10/30/2025, 9:35:15.312 AM","10/30/2025, 1:41:21.300 PM",0.2,NaN,,
RT0018,Background,CodeUnit,487,Job Queue Start Report,Base Application,Microsoft,5,0,"10/31/2025, 8:10:56.476 AM","10/31/2025, 8:16:42.925 AM",0.2,NaN,,Operation exceeded time threshold (AL method)
RT0018,Background,CodeUnit,1372,Purchase Batch Post Mgt.,Base Application,Microsoft,4,0,"10/31/2025, 8:14:03.105 AM","10/31/2025, 8:14:08.558 AM",0.2,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,31,Item List,,,4,0,"10/30/2025, 3:12:33.109 PM","10/30/2025, 3:34:00.069 PM",0.2,NaN,,
CL0001,Desktop,Page,52,Purchase Credit Memo,,,4,0,"10/30/2025, 1:08:34.168 PM","10/30/2025, 3:01:44.428 PM",0.2,NaN,,
AL0000CSU,WebClient,CodeUnit,1351,Telemetry Subscribers,Base Application,Microsoft,4,0,"10/30/2025, 11:59:46.643 AM","10/30/2025, 3:01:06.829 PM",0.2,NaN,,Sales document posted: SP25-25601
CL0001,Desktop,Page,10007990,Appr Invoice Registrations,,,4,0,"10/30/2025, 2:12:02.187 PM","10/31/2025, 7:43:43.228 AM",0.2,NaN,,
CL0001,Desktop,Page,44,Sales Credit Memo,,,4,0,"10/30/2025, 8:43:03.058 AM","10/30/2025, 3:32:45.703 PM",0.2,NaN,,
CL0001,Desktop,Page,10008155,Iobs Get E-entries and Adjust,,,4,0,"10/30/2025, 1:39:50.037 PM","10/31/2025, 7:32:37.918 AM",0.2,NaN,,
CL0001,Desktop,Page,10008000,Appr Role Center,,,4,0,"10/30/2025, 10:22:59.084 AM","10/30/2025, 2:25:41.489 PM",0.2,NaN,,
CL0001,Desktop,Page,516,Sales Lines,,,4,0,"10/30/2025, 9:44:08.735 AM","10/30/2025, 4:48:24.104 PM",0.2,NaN,,
CL0001,Desktop,Page,-1,Lookupform38_Purchase Header,,,4,0,"10/30/2025, 12:05:51.951 PM","10/31/2025, 8:19:38.190 AM",0.2,NaN,,
CL0001,Desktop,Page,9631,Page Inspection,,,4,0,"10/30/2025, 12:59:42.424 PM","10/31/2025, 8:10:44.141 AM",0.2,NaN,,
CL0001,Desktop,Page,26,Vendor Card,,,3,0,"10/30/2025, 12:32:15.886 PM","10/31/2025, 8:21:06.425 AM",0.1,NaN,,
